Tutorial Group,Project Group,Student ID,School,Name,Gender,CGPA
10,F,611,SPMS,Hendra Mulyana,Male,4.1
10,G,2863,MAE,Will Chen,Male,4.23
10,G,5122,CCEB,Kerry Lim,Female,4.01
10,G,3794,CoB (NBS),Christopher Miller,Male,4.17
10,G,4588,CoB (NBS),Paula Wong,Female,4.06
10,G,5420,NIE,Nina Patil,Female,4.1
10,H,5734,MAE,Hassan Malik,Male,4.03
10,H,16,EEE,Tatum Flores,Female,4.2
10,H,5695,WKW SCI,Rhys Tan,Male,4.06
10,H,435,WKW SCI,Kiran Farooq,Female,4.15
10,H,298,MAE,Freya Chen,Female,4.09
10,I,3732,CCDS,Liam Jones,Male,4.2
10,I,3963,SSS,Yasmine Villanueva,Female,4.02
10,I,565,SoH,Isaiah Scott,Male,4.15
10,I,3189,CCEB,Rhea Lee,Female,4.07
10,I,560,SoH,Ayesha Javed,Female,4.09
10,J,3111,CEE,Marco Garcia,Male,4.04
10,J,5856,MAE,Sophie Cheung,Female,4.2
10,J,3329,MAE,Adrian Castillo,Male,4.07
10,J,5121,MSE,Ximena Fernandez,Female,4.12
10,J,171,CCEB,Nina Bennett,Female,4.08
100,A,424,CEE,Ashok Nair,Male,4.52
100,A,2468,EEE,Bella Perry,Female,3.9
100,A,2603,CoE,Ali Rehman,Male,4.14
100,A,370,EEE,Mia Wong,Female,4.03
100,A,356,CoE,Yasir Qureshi,Male,4.08
100,B,3242,WKW SCI,Aiden Brown,Male,3.9
100,B,5269,MSE,Anjali Nair,Female,4.27
100,B,2698,CCDS,Owen Hill,Male,4.03
100,B,3280,CoB (NBS),Alina Malik,Female,4.19
100,B,4857,EEE,Jordan Chen,Male,4.06
100,C,701,CoB (NBS),Ameer Bin Rahman,Male,4.2
100,C,2009,CCDS,Isabella Thomas,Female,3.9
100,C,4043,CCDS,Adrian King,Male,4.12
100,C,2097,CoB (NBS),Siti Maryam,Female,4.03
100,C,1145,CCEB,Fay Tan,Female,4.09
100,D,2017,CoE,Caiyun,Male,3.91
100,D,1824,MAE,Yuanqing,Female,4.25
100,D,4274,EEE,Tommy Wu,Male,4.03
100,D,3137,LKCMedicine,Raquel Huang,Female,4.18
100,D,5800,CoB (NBS),Yumi Nishikawa,Female,4.14
100,E,5791,EEE,Peter Choi,Male,4.19
100,E,347,EEE,Meera Menon,Female,3.92
100,E,5945,CoB (NBS),Fergus Mendoza,Male,4.11
100,E,111,SPMS,Ying Liu,Female,4.03
100,E,2332,CoB (NBS),Maya Ong,Female,4.14
100,F,5743,EEE,Bradley Huang,Male,4.01
100,F,4061,CCEB,Naina Gupta,Female,4.2
100,F,2000,NIE,Danty Susanto,Male,4.05
100,F,967,SBS,Mia Phillips,Female,4.17
100,F,1795,SSS,Tao Wang,Female,4.12
100,G,2040,SoH,Wesley Turner,Male,4.17
100,G,438,MAE,Iris Rivera,Female,3.95
100,G,745,CEE,Khalid Rahman,Male,4.1
100,G,491,CoB (NBS),Fangling,Female,4.05
100,G,4425,ASE,Carla Wang,Female,4.12
100,H,5953,SBS,Orlando Wu,Male,4.01
100,H,1547,CCEB,Margaret Li,Female,4.2
100,H,4743,SPMS,Jack Foster,Male,4.05
100,H,4268,CCEB,Nadia Binti Azhar,Female,4.15
100,H,1875,SoH,Rachel Lee,Female,4.11
100,I,861,MSE,Hua Zhang,Male,4.17
100,I,1176,CCDS,Mia Hall,Female,3.95
100,I,4888,NIE,Carter Moore,Male,4.1
100,I,5534,SSS,Neelam Bhatia,Female,4.05
100,I,1683,SSS,Diya Nair,Female,4.11
100,J,2089,CoB (NBS),Han Zhang,Male,4.02
100,J,412,MAE,Seema Kapoor,Female,4.19
100,J,731,WKW SCI,Tae-Soo Kim,Male,4.05
100,J,2346,EEE,Fiona Clark,Female,4.15
100,J,4283,ADM,Hassan Farooq,Female,4.1
101,A,35,SoH,Riley Lim,Male,4.48
101,A,3546,SoH,Ying Wong,Female,3.88
101,A,437,CoE,Xiao Ming,Male,4.17
101,A,456,MAE,Wani Binti Jalil,Female,4.0
101,A,5468,CCDS,Lucas Chen,Male,4.12
101,B,4928,SPMS,Weijun,Male,3.85
101,B,2753,MAE,Zadie Harris,Female,4.52
101,B,665,SPMS,Qi Chen,Male,4.04
101,B,4896,EEE,Jaxon Lewis,Male,4.12
101,B,757,CCEB,Savannah Torres,Female,4.2
101,C,2425,SPMS,Asher Nelson,Male,4.21
101,C,715,ASE,Zoe King,Female,3.88
101,C,5987,MAE,Owen Nugroho,Male,4.15
101,C,2852,NIE,Shayla Wang,Female,4.01
101,C,621,CCDS,Christopher Cox,Male,4.12
101,D,1353,MAE,Kieran Harris,Male,3.91
101,D,4173,SBS,Evelyn Cheung,Female,4.48
101,D,2828,NIE,Nguyen Hoang Long,Male,4.05
101,D,5015,ASE,Fatima Bhatia,Female,4.19
101,D,3088,MSE,Eli Cruz,Male,4.11
101,E,4167,SPMS,Farhan Bin Azhar,Male,4.2
101,E,615,SPMS,Gia Tsai,Female,3.89
101,E,3593,MAE,Minghao,Male,4.15
101,E,746,MAE,Alani Lin,Female,4.03
101,E,4346,SBS,Manish Singh,Male,4.1
101,F,410,CoB (NBS),Jin Yang Tan,Male,3.95
101,F,23,CCEB,Daphne Tan,Female,4.26
101,F,1293,CCEB,Jasper Wang,Male,4.08
101,F,2337,CoB (NBS),Sophia Jones,Female,4.18
101,F,5210,CoE,Amaya Sharma,Female,4.15
101,G,3886,ADM,Ajay Iyer,Male,4.2
101,G,3382,CoB (NBS),Madiha Ali,Female,3.9
101,G,849,SSS,Ethan Taylor,Male,4.15
101,G,762,CoE,Kate Tan,Female,4.03
101,G,5291,CoB (NBS),Rachel Choi,Female,4.12
101,H,696,NIE,Wyatt Price,Male,3.95
101,H,1235,CCDS,Nguyen Thi Binh,Female,4.21
101,H,2986,CCDS,Rishi Tan,Male,4.08
101,H,5741,SBS,Isla Young,Female,4.17
101,H,5809,CoE,Hannah Smith,Female,4.11
101,I,4393,EEE,Kevin Brown,Male,4.18
101,I,1839,LKCMedicine,Kexin,Female,4.0
101,I,2349,EEE,Sandeep Rao,Male,4.14
101,I,4526,CCDS,Hope Chen,Female,4.04
101,I,4045,MAE,Sofia Reddy,Female,4.09
101,J,1545,SPMS,Carter Thompson,Male,4.03
101,J,5461,CoB (NBS),Suraj Mishra,Male,4.08
101,J,5191,CCEB,Khayla Rahayu,Female,4.15
101,J,5633,CCEB,Ning Li,Female,4.09
101,J,1346,SSS,Lola Tan,Female,4.2
102,A,2376,MSE,Hao Yang Tan,Male,4.3
102,A,4862,CCDS,Melati Ahmad,Female,3.88
102,A,4404,MAE,Omar Farooq,Male,4.2
102,A,2192,SPMS,Liu Fang,Female,4.03
102,A,2013,NIE,Wyatt Thompson,Male,4.09
102,B,1688,MSE,Pranata Santoso,Male,3.95
102,B,5690,CCEB,Maharani Sari,Female,4.3
102,B,2221,EEE,Levi Huang,Male,4.04
102,B,337,CoB (NBS),Kanwal Bukhari,Female,4.16
102,B,5888,CEE,Bradley Yang,Male,4.09
102,C,2373,NIE,Elisha Wu,Male,4.23
102,C,3168,MAE,Sakshi Iyer,Female,3.94
102,C,956,SBS,Raj Tan,Male,4.17
102,C,448,SSS,Margarita Sokolova,Female,4.03
102,C,2595,CoE,Fariha Noor,Female,4.14
102,D,1768,SoH,Travis Lim,Male,4.0
102,D,1634,CCDS,Sofia Hernandez,Female,4.26
102,D,2315,SPMS,Cheng Fang Tan,Male,4.05
102,D,3043,CoE,Maya Sari,Female,4.15
102,D,2720,WKW SCI,Nira Gupta,Female,4.12
102,E,783,CCDS,Ajay Bhatt,Male,4.22
102,E,5928,SSS,Anjali Kumar,Female,3.95
102,E,3820,SSS,Felix Wong,Male,4.14
102,E,5147,SoH,Min-Ji Park,Female,4.03
102,E,3957,CEE,Megan Walker,Female,4.06
102,F,4386,WKW SCI,Riku Takeda,Male,4.01
102,F,4379,MAE,Zoe Martinez,Female,4.21
102,F,3692,EEE,Harsh Kumar,Male,4.05
102,F,5447,CCDS,Lan Nguyen,Female,4.15
102,F,3413,SSS,Kiran Shah,Female,4.12
102,G,1362,MAE,Yong Hui,Male,4.21
102,G,3717,EEE,Nafisa Ali,Female,3.95
102,G,2246,SoH,Luca Torres,Male,4.12
102,G,2560,SBS,Simran Singh,Female,4.03
102,G,613,SBS,Nina Phillips,Female,4.11
102,H,3439,SBS,Asher Clark,Male,4.03
102,H,714,CoB (NBS),Nisha Gupta,Female,4.21
102,H,103,CoE,Maximus Wright,Male,4.05
102,H,2079,CoB (NBS),Gina Lau,Female,4.15
102,H,3909,CCEB,Zara Lim,Female,4.1
102,I,5913,MAE,Ulysses Salazar,Male,4.2
102,I,902,MSE,Layla Cooper,Female,4.03
102,I,2403,MAE,Henry Tan,Male,4.12
102,I,39,EEE,Lyric Tan,Female,4.04
102,I,3592,EEE,Alina Awan,Female,4.1
102,J,5578,CCDS,Minh Tran,Male,4.03
102,J,5144,CCEB,Aria Murphy,Female,4.2
102,J,818,SSS,Hansel Bautista,Male,4.06
102,J,828,SSS,Sakshi Singh,Female,4.14
102,J,5023,LKCMedicine,Svetlana Chernyshova,Female,4.06
103,A,5040,ASE,Dev Sharma,Male,4.26
103,A,2302,CEE,Yvonne Ng,Female,3.8
103,A,3497,NIE,Hikaru Sato,Male,4.14
103,A,40,LKCMedicine,Shiloh Lin,Female,4.05
103,A,3932,WKW SCI,Vy Nguyen,Male,4.11
103,B,4616,ASE,Eli Tan,Male,3.88
103,B,3554,CCDS,Asha Mehta,Female,4.52
103,B,4181,CoB (NBS),Simon Lee,Male,4.02
103,B,4427,EEE,Willow Wong,Female,4.19
103,B,344,CEE,Tyler Hall,Male,4.11
103,C,397,CoB (NBS),Chong Wang,Male,4.25
103,C,952,MSE,Nadia Binti Zulkifli,Female,3.87
103,C,2559,CEE,Everett Harris,Male,4.14
103,C,1292,SoH,Queenie Lee,Female,4.06
103,C,1847,CoE,Talha Iqbal,Male,4.11
103,D,1787,CEE,Xiao Wei Tan,Male,3.95
103,D,5483,MAE,Camila Li,Female,4.27
103,D,2099,CCDS,Fahim Hussein,Male,4.03
103,D,4821,CoB (NBS),Samantha Khan,Female,4.19
103,D,4224,SoH,Ethan White,Male,4.11
103,E,2601,SSS,Tommy Wu,Male,4.22
103,E,1551,CCEB,Maggie Kwan,Female,3.91
103,E,4809,EEE,Vikram Singh,Male,4.13
103,E,3251,EEE,Emily Scott,Female,4.07
103,E,2679,SSS,Khalil Bin Ismail,Male,4.09
103,F,1613,SBS,Graham Jackson,Male,3.97
103,F,2602,CCDS,Fatima Baig,Female,4.25
103,F,1553,EEE,Isaac Thompson,Male,4.03
103,F,4051,MAE,Fatima Malik,Female,4.18
103,F,5627,SSS,Anjali Singh,Female,4.16
103,G,1879,MSE,Naim Bin Hashim,Male,4.2
103,G,778,CoB (NBS),Selina Loh,Female,3.91
103,G,1911,CEE,Mansoor Qureshi,Male,4.12
103,G,4837,SBS,Yuna Wong,Female,4.07
103,G,4612,MAE,Kylie Chen,Female,4.15
103,H,18,CEE,Alan Chan,Male,4.0
103,H,1202,SSS,Maya Gonzales,Female,4.22
103,H,925,MSE,Saad Malik,Male,4.05
103,H,4132,EEE,Aria Martinez,Female,4.18
103,H,1495,CCDS,Amira Tan,Female,4.15
103,I,2165,CoE,David Young,Male,4.19
103,I,5970,SBS,Layla Fisher,Female,4.01
103,I,2189,CoB (NBS),Zachary Lee,Male,4.11
103,I,4842,SoH,Carmen Ong,Female,4.09
103,I,835,SoH,Maya Wilson,Female,4.13
103,J,4678,SPMS,Irfan Bin Hassan,Male,4.0
103,J,4964,CCDS,Hannah Sanders,Female,4.2
103,J,1618,CEE,Dallas Huang,Male,4.09
103,J,4559,EEE,Sofia Kim,Female,4.17
103,J,5493,CCEB,Amna Bukhari,Female,4.11
104,A,3335,EEE,William Yip,Male,4.22
104,A,2233,SBS,Chloe Scott,Female,3.85
104,A,33,ASE,Waleed Malik,Male,4.15
104,A,2932,SSS,Gracelyn Dela Cruz,Female,3.96
104,A,1375,CEE,Pallavi Mehta,Female,4.09
104,B,1542,WKW SCI,John Lim,Male,3.95
104,B,5905,CCDS,Emi Yamashita,Female,4.22
104,B,3268,CoB (NBS),Gideon Torres,Male,4.04
104,B,5020,NIE,Xena Reed,Female,4.11
104,B,2898,SSS,Nancy Yeo,Female,4.08
104,C,3873,CoB (NBS),Leo Pranata,Male,4.2
104,C,3080,NIE,Tara Wati,Female,3.85
104,C,1891,MAE,Ryder Ward,Male,4.15
104,C,2204,EEE,Anaya Singh,Female,4.0
104,C,1600,WKW SCI,Sophia Taylor,Female,4.06
104,D,5570,SPMS,Gideon Zhang,Male,4.01
104,D,4403,EEE,Ying Zhang,Female,4.18
104,D,4664,CoE,Lance Alvarado,Male,4.04
104,D,2622,EEE,Priya Roy,Female,4.11
104,D,5685,CCEB,Maya Rahman,Female,4.06
104,E,2962,CoE,Jun Zhang,Male,4.19
104,E,5962,CoB (NBS),Madison Scott,Female,3.92
104,E,1395,SoH,Anil Reddy,Male,4.14
104,E,4894,CCDS,Fitri Binti Mohd,Female,4.0
104,E,1950,MAE,Lila Wu,Female,4.06
104,F,5540,EEE,Kamran Farooq,Male,4.01
104,F,3937,SSS,Nisha Yadav,Female,4.18
104,F,759,CCDS,Daniel Adams,Male,4.05
104,F,2273,SSS,Samantha Ong,Female,4.1
104,F,4001,SoH,Ashna Mehta,Female,4.06
104,G,5596,CCDS,Jason Tan,Male,4.16
104,G,5263,CoB (NBS),Lily Ong,Female,3.93
104,G,3665,CCDS,Shahid Ali,Male,4.11
104,G,2562,SoH,Zainab Noor,Female,4.0
104,G,5684,SoH,Emily Johnson,Female,4.03
104,H,90,ASE,Chandra Menon,Male,4.03
104,H,2653,CCDS,Chloe Tan,Female,4.17
104,H,5317,CoB (NBS),Zhen Zhang,Male,4.06
104,H,1649,MAE,Vera Ong,Female,4.09
104,H,4039,CCDS,Anita Lim,Female,4.06
104,I,3595,NIE,Eamon Liu,Male,4.16
104,I,3050,CCEB,Nia Wong,Female,3.95
104,I,4988,CCDS,Rafael Wong,Male,4.11
104,I,2556,MAE,Chloe Wu,Female,4.03
104,I,1446,NIE,Dahlia Chen,Female,4.04
104,J,238,CCEB,Prashant Joshi,Male,4.03
104,J,82,SSS,Giselle Wu,Female,4.14
104,J,4349,WKW SCI,Benjamin Huang,Male,4.11
104,J,832,SPMS,Sarah Liu,Female,4.09
104,J,4187,SBS,Isha Verma,Female,4.03
105,A,5003,CCDS,Imran Bin Zahid,Male,4.3
105,A,3345,CCEB,Vira Dwi,Female,3.8
105,A,3668,ADM,Saad Javed,Male,4.15
105,A,2732,SSS,Addison Lin,Female,4.02
105,A,5816,CCDS,Bennett Liu,Male,4.14
105,B,463,MAE,Arjun Nair,Male,3.92
105,B,2728,EEE,Daphne Li,Female,4.26
105,B,1789,NIE,Dallas Liu,Male,4.05
105,B,951,SSS,Nisha Bansal,Female,4.15
105,B,1043,MAE,Logan Martin,Male,4.12
105,C,2392,SoH,Max Johnson,Male,4.21
105,C,1803,EEE,Isabella Rodriguez,Female,3.86
105,C,4869,SPMS,Kiran Rao,Male,4.15
105,C,1141,SSS,Mei Chen,Female,4.02
105,C,2913,SoH,Kunal Mehta,Male,4.12
105,D,1529,CCDS,Devansh Mehta,Male,4.0
105,D,5770,NIE,Qiana Lestari,Female,4.25
105,D,1974,CEE,Ronald Tan,Male,4.05
105,D,3970,CoB (NBS),Cora Zhang,Female,4.15
105,D,800,CoE,Ricky Chen,Male,4.09
105,E,5339,SoH,Callum Williams,Male,4.19
105,E,5029,WKW SCI,Olivia Miller,Female,3.87
105,E,1927,MSE,Dao Tran,Male,4.15
105,E,5565,ASE,Yumi Tanaka,Female,4.03
105,E,4589,CCEB,Sabrina Zhao,Female,4.11
105,F,401,CoB (NBS),Haruki Suzuki,Male,4.01
105,F,4188,SSS,Sophie Reed,Female,4.23
105,F,2010,CEE,Trung Le,Male,4.06
105,F,1564,EEE,Amina Binti Zain,Female,4.15
105,F,4758,CoB (NBS),Ping An,Female,4.1
105,G,5377,CCDS,Yang Jun,Male,4.17
105,G,333,CCDS,Maya Torres,Female,3.92
105,G,1490,EEE,Amit Agarwal,Male,4.15
105,G,5218,MAE,Julia Tan,Female,4.04
105,G,3108,SSS,Pallavi Kumar,Female,4.1
105,H,500,CoB (NBS),Vincent Wong,Male,4.01
105,H,3728,MAE,Lola Zhang,Female,4.22
105,H,5950,CEE,James Jackson,Male,4.09
105,H,2161,EEE,Tessa Li,Female,4.14
105,H,4744,CCDS,Alyssa Tan,Female,4.1
105,I,1550,CEE,Chen Bo,Male,4.17
105,I,5909,SSS,Aditi Kumar,Female,4.01
105,I,5355,CoB (NBS),Nicolas Ramos,Male,4.14
105,I,4510,SBS,Kylie Zhang,Female,4.04
105,I,28,CoB (NBS),Claudia Tan,Female,4.09
105,J,5797,MAE,Shahid Raza,Male,4.02
105,J,4364,MAE,Charlotte Gonzalez,Female,4.22
105,J,1007,CoB (NBS),Jonathan Wu,Male,4.09
105,J,4431,SBS,Chen Li,Female,4.12
105,J,3415,CCDS,Tatum Roberts,Female,4.06
106,A,930,CoE,Jason Robinson,Male,4.52
106,A,3583,CCEB,Aria Lee,Female,3.88
106,A,3686,EEE,Cole Huang,Male,4.19
106,A,4934,CCEB,Arya Kapoor,Female,3.97
106,A,2147,WKW SCI,Hafiz Ahmad,Male,4.14
106,B,330,EEE,Dylan Li,Male,3.9
106,B,1929,EEE,Kavitha Tan,Female,4.3
106,B,4201,SPMS,Reyansh Iyer,Male,4.14
106,B,5657,SPMS,Charlotte Harris,Female,4.02
106,B,4317,CoB (NBS),Oliver Martinez,Male,4.12
106,C,2144,CoE,Oscar Villanueva,Male,4.19
106,C,850,CCDS,Sienna Lee,Female,3.88
106,C,4732,EEE,Albert Wang,Male,4.01
106,C,3330,SSS,Jingyi,Female,4.15
106,C,2112,SoH,Noah Morris,Male,4.11
106,D,3471,CCEB,Gandhi Saputra,Male,3.95
106,D,2588,SoH,Mira Binti Zaki,Female,4.2
106,D,1294,MAE,Nolan Reyes,Male,4.16
106,D,623,CoB (NBS),Minghao,Female,4.0
106,D,1580,WKW SCI,Nikhil Sharma,Male,4.11
106,E,4438,EEE,Noel Pineda,Male,4.19
106,E,5885,EEE,Jun Liu,Female,3.9
106,E,2385,ADM,Hoang Nguyen,Male,4.02
106,E,5089,MAE,Isla Lee,Female,4.15
106,E,1002,CCEB,Priya Nair,Female,4.12
106,F,3008,CCDS,Thomas Harris,Male,3.95
106,F,164,LKCMedicine,Nisha Verma,Female,4.18
106,F,3054,CCEB,Om Tan,Male,4.15
106,F,1785,MAE,Gabriella Dela Cruz,Female,4.01
106,F,5676,EEE,Akemi Takahashi,Female,4.12
106,G,3551,EEE,Harrison Moore,Male,4.19
106,G,4753,EEE,Zara Malik,Female,3.9
106,G,2370,MAE,Zedrick Ong,Male,4.05
106,G,1888,CoE,Guofeng,Female,4.15
106,G,5670,SoH,Miyu Nishimura,Female,4.06
106,H,4581,SPMS,Jai Mehta,Male,4.0
106,H,1470,CCEB,Tania Ng,Female,4.15
106,H,1730,CoB (NBS),Siddharth Gupta,Male,4.14
106,H,5093,MAE,Megan Zhao,Female,4.01
106,H,4387,CCEB,Kathy Tan,Female,4.05
106,I,113,MAE,Fahad Ali,Male,4.19
106,I,5088,CCEB,Neelam Rani,Female,3.95
106,I,4783,MAE,Rahul Mehta,Male,4.08
106,I,1168,NIE,Eun-Hee Kim,Female,4.14
106,I,3654,CCDS,Aria Tan,Female,4.04
106,J,5983,SPMS,Sergei Ivanovich,Male,4.0
106,J,3001,CCDS,Piper Chen,Female,4.15
106,J,2713,MAE,Kevin Wang,Male,4.09
106,J,5898,CCEB,Quinn Larson,Female,4.12
106,J,1415,NIE,Cleo Morales,Female,4.02
107,A,5335,SPMS,Qiang Zhang,Male,4.2
107,A,5132,ASE,Min-Jung Kim,Female,3.85
107,A,2916,SSS,Omar Rivera,Male,4.12
107,A,2012,SSS,Charu Iyer,Female,3.92
107,A,4572,EEE,Arjun Sinha,Male,4.09
107,B,2715,MAE,Harvey Lim,Male,3.88
107,B,1212,CoB (NBS),Samantha Sanchez,Female,4.25
107,B,2445,SPMS,Chad Dela Cruz,Male,4.02
107,B,4621,SPMS,Amelia Lewis,Female,4.22
107,B,89,CoE,Suresh Bhat,Female,4.14
107,C,3867,CoB (NBS),Zane Navarro,Male,4.18
107,C,937,ASE,Nina Binti Noor,Female,3.86
107,C,1979,NIE,Archer Powell,Male,4.12
107,C,5790,CCEB,Cheryl Ong,Female,4.0
107,C,112,CoB (NBS),Misha Malik,Female,4.14
107,D,4716,MAE,Joko Susanto,Male,3.9
107,D,895,CCEB,Saanvi Roy,Female,4.25
107,D,1463,EEE,Xiao Zhang,Male,4.02
107,D,4901,MAE,Victoria Reyes,Female,4.2
107,D,2475,SPMS,Madison Torres,Female,4.12
107,E,5804,SPMS,Liu Yang,Male,4.16
107,E,2471,CCDS,Nguyen Thi Hoa,Female,3.87
107,E,5960,CEE,Yuri Grigorev,Male,4.1
107,E,3344,CCDS,Lana Tan,Female,4.0
107,E,2334,EEE,Meera Gupta,Female,4.04
107,F,1033,WKW SCI,Tanishq Reddy,Male,3.92
107,F,598,MSE,Riana Binti Abdul,Female,4.25
107,F,3849,CCDS,Zane Wong,Male,4.03
107,F,2292,CEE,Lily Lim,Female,4.19
107,F,2877,CCDS,Hayden Wu,Female,4.12
107,G,3973,WKW SCI,Karan Patel,Male,4.14
107,G,768,CoB (NBS),Kavita Singh,Female,3.89
107,G,4677,NIE,Emery Wu,Male,4.1
107,G,1541,CCEB,Zulaikha Binti Rahman,Female,4.0
107,G,1308,CCEB,Vera Chan,Female,4.1
107,H,4074,CEE,Daniel Tan,Male,4.0
107,H,754,MAE,Bria Tsai,Female,4.23
107,H,180,CEE,Kai Qiang,Male,4.04
107,H,4749,WKW SCI,Nina Zhao,Female,4.15
107,H,4040,CCEB,Rina Ali,Female,4.09
107,I,5767,EEE,Carter Hall,Male,4.14
107,I,1968,SBS,Yumi Hayashi,Female,3.89
107,I,149,MAE,Ananya Roy,Female,4.08
107,I,2196,SBS,Jia Li,Female,4.03
107,I,2941,EEE,Xiaoling Chen,Female,4.02
107,J,4336,EEE,Xiangqi,Male,4.0
107,J,5212,EEE,Sana Menon,Female,4.22
107,J,830,CCDS,Samreen Ali,Female,4.07
107,J,992,SSS,Amara Siti,Female,4.03
107,J,5645,CCEB,Le Van Minh,Female,4.02
108,A,3933,CEE,Matthew Martinez,Male,4.57
108,A,1590,CCDS,Yan Mei,Female,3.87
108,A,2130,SSS,Kendrick Alvarado,Male,4.18
108,A,4881,EEE,Maya Devi,Female,4.0
108,A,5588,EEE,Shoji Takahashi,Male,4.11
108,B,2141,CEE,Raj Patel,Male,3.8
108,B,1941,CCEB,Sophia Lee,Female,4.22
108,B,5244,CEE,Nguyen Van Cuong,Male,4.02
108,B,5110,SBS,Sheng Liu,Female,4.14
108,B,5733,MAE,Chen Ming,Male,4.11
108,C,3985,SPMS,Asher Thompson,Male,4.52
108,C,1809,SSS,Ivy Wang,Female,3.89
108,C,5153,CoB (NBS),Caleb Parker,Male,4.18
108,C,3193,SoH,Siti Aisya Binti Ibrahim,Female,4.0
108,C,3276,CCDS,Shahril Bin Hamid,Male,4.1
108,D,3913,SSS,Randy Lim,Male,3.88
108,D,1538,EEE,Shreya Rani,Female,4.22
